Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.trust.json	13192	-	1	0	0	0	0	0	10	98	0	0	0	0	0	0	0	0	0	0	132	109	0	0	0	6	0	1
fsh-generated/resources/CodeSystem-WHO.TRUST.ACTOR.json	1054	5	0	0	0	0	0	0	0	19	0	0	1	0	0	0	0	0	0	0	31	5460	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-WHO.TRUST.DOMAIN.json	588	5	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	28	160	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-WHO.TRUST.KEYUSAGE.json	1547	10	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	28	205	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-WHO.TRUST.TRANSACTION.json	686	10	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	20	121	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-COSEHeader.json	1440	9	0	0	0	0	0	6	0	41	0	0	0	0	0	0	0	0	0	0	44	544	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-CWT.json	1726	9	0	0	0	0	0	18	0	73	0	0	0	0	0	0	0	1	0	0	50	280	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-CWTPayload.json	2091	10	0	0	0	0	0	41	0	18	0	0	0	0	0	0	0	0	0	0	68	166	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-HCert.json	2605	10	0	0	0	0	0	32	0	19	0	0	0	0	0	0	0	0	0	0	63	149	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SchemeInformation.json	7680	11	0	0	0	0	0	57	0	31	0	0	0	0	0	0	0	0	0	0	155	311	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-SmartHealthLink.json	1401	10	0	0	0	0	0	41	0	16	0	0	0	0	0	0	0	0	0	0	40	81	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SmartHealthLinkPayload.json	5267	10	0	0	0	0	0	31	0	18	0	0	0	0	0	0	0	0	0	0	81	146	0	0	0	3	0	0
fsh-generated/resources/ValueSet-WHO.TRUST.ACTOR.json	454	9	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	17	10620	0	0	0	0	0	0
fsh-generated/resources/ValueSet-WHO.TRUST.DOMAIN.json	562	8	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	18	191	0	0	0	0	0	0
fsh-generated/resources/ValueSet-WHO.TRUST.KEYUSAGE.json	868	8	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	20	154	0	0	0	1	0	0
fsh-generated/resources/ValueSet-WHO.TRUST.TRANSACTION.json	484	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	17	423	0	0	0	0	0	0
